,G0100730,G0100810,G0100890,G0100970,G0101010,G0101250,G0400050,G0400130,G0400150,G0400250,G0500070,G0500510,G0501190,G0501310,G0600010,G0600370,G0600590,G0600650,G0600710,G0600730,G0600750,G0600850,G0601110,G0800310,G0800410,G0801170,G0900010,G0900030,G1000030,G1000050,G1100010,G1200310,G1200570,G1200710,G1200860,G1200950,G1200990,G1201030,G1300510,G1301210,G1301390,G1600010,G1600050,G1600170,G1600190,G1600270,G1700310,G1700430,G1701190,G1800970,G1801050,G1801630,G1900130,G1900330,G1901130,G1901530,G2000510,G2000910,G2001730,G2100670,G2101110,G2200170,G2200330,G2200710,G2300050,G2300310,G2400050,G2500170,G2500270,G2600550,G2600730,G2600810,G2601030,G2601230,G2601630,G2700350,G2700530,G2701230,G2701370,G2800470,G2800490,G2800750,G2800810,G2900210,G2900950,G2901890,G3000630,G3001110,G3100550,G3101090,G3200030,G3200050,G3200230,G3200310,G3300030,G3300090,G3300110,G3300130,G3300150,G3400030,G3400130,G3500010,G3500130,G3500350,G3500450,G3500490,G3600290,G3600610,G3600650,G3701190,G3701830,G3800150,G3800170,G3900350,G3900490,G3900610,G3900950,G3901130,G3901530,G4001090,G4001430,G4100170,G4100510,G4100670,G4200030,G4200110,G4200710,G4201010,G4400070,G4500450,G4500510,G4600990,G4601030,G4601350,G4700370,G4700650,G4700930,G4701250,G4701570,G4800290,G4801130,G4801410,G4802010,G4804390,G4804530,G4900050,G4900350,G4900430,G4900490,G4900530,G5000070,G5000270,G5100590,G5108100,G5300330,G5300630,G5400110,G5400330,G5400390,G5400610,G5400810,G5500250,G5500790,G5500850,G5600210,G5600230,G5600250
Raw Daily Max MAE (C),0.5283,0.5214,0.5564,0.475,0.5246,0.5477,0.3848,0.2722,0.3312,0.4026,0.5907,0.5681,0.5834,0.5874,0.4158,0.3358,0.3388,0.3626,0.3503,0.3269,0.4166,0.3994,0.3527,0.8575,0.7698,0.2627,0.5999,0.626,0.5754,0.5761,0.6323,0.5173,0.4367,0.3767,0.3577,0.4596,0.4286,0.4825,0.4868,0.5617,0.5491,0.3793,0.4186,0.4476,0.4298,0.3803,0.703,0.678,0.6639,0.611,0.6138,0.6218,0.6649,0.6908,0.6441,0.6622,0.6698,0.6298,0.6067,0.6239,0.6205,0.5274,0.5361,0.4617,0.7046,0.6704,0.6135,0.6863,0.6771,0.6275,0.6203,0.6048,0.6424,0.6052,0.6449,0.6308,0.6443,0.6338,0.6659,0.4756,0.5503,0.5857,0.5763,0.646,0.6256,0.6637,0.5123,0.6342,0.6652,0.6813,0.2938,0.4404,0.2939,0.4172,0.7278,0.7379,0.7204,0.7275,0.6931,0.6373,0.6374,0.4412,0.3784,0.3909,0.3903,0.5065,0.6595,0.6373,0.708,0.6058,0.6158,0.7322,0.6687,0.6692,0.6161,0.6138,0.6851,0.6136,0.659,0.586,0.5652,0.4711,0.4541,0.4143,0.6588,0.6346,0.6491,0.6052,0.6342,0.5914,0.5438,0.7069,0.8166,0.7277,0.6034,0.5582,0.5766,0.6367,0.5577,0.4759,0.5307,0.3594,0.5394,0.5201,0.4997,0.4241,0.504,0.4493,0.4641,0.3253,0.6963,0.6867,0.6461,0.6396,0.3833,0.4196,0.6479,0.6602,0.6822,0.6625,0.7068,0.6156,0.6815,0.5964,0.838,0.3738,0.6275
Raw Daily Max RMSE (C),0.6626,0.6381,0.7095,0.5724,0.6511,0.6839,0.498,0.3715,0.4621,0.5299,0.757,0.7085,0.72,0.7266,0.504,0.4294,0.4404,0.4614,0.445,0.4104,0.4865,0.4947,0.4492,1.1394,1.0066,0.4266,0.7405,0.7921,0.7297,0.7429,0.7876,0.6215,0.5121,0.444,0.4213,0.5422,0.4951,0.5617,0.5984,0.692,0.6744,0.5087,0.5562,0.6054,0.5635,0.512,0.9447,0.9159,0.8592,0.8105,0.8048,0.807,0.9138,0.9574,0.8713,0.9203,0.8925,0.8288,0.8122,0.8008,0.7989,0.6452,0.6545,0.5532,0.8655,0.839,0.7712,0.8462,0.8462,0.8153,0.8084,0.7912,0.8237,0.8061,0.8474,0.838,0.8561,0.838,0.8666,0.5749,0.6982,0.7281,0.7165,0.8612,0.8175,0.8613,0.6873,0.8902,0.8661,0.9106,0.4144,0.5733,0.4301,0.5588,0.921,0.9291,0.8826,0.9037,0.858,0.7855,0.7866,0.5802,0.5293,0.5056,0.5301,0.6732,0.864,0.7855,0.9027,0.7255,0.7677,1.0244,0.9189,0.9181,0.8169,0.7935,0.902,0.811,0.8715,0.7751,0.7355,0.6562,0.577,0.532,0.8493,0.7993,0.811,0.7713,0.7977,0.7139,0.6742,0.9661,1.1142,1.0011,0.7764,0.6984,0.7203,0.8047,0.7068,0.5993,0.6789,0.511,0.6537,0.6646,0.6281,0.5672,0.656,0.6018,0.6158,0.4519,0.9143,0.8567,0.7978,0.8747,0.5023,0.5541,0.8465,0.8612,0.8888,0.8396,0.8856,0.817,0.9221,0.7804,1.1226,0.5139,0.8986
Raw Daily Min MAE (C),0.3673,0.3004,0.384,0.341,0.2814,0.3213,0.4079,0.1887,0.2516,0.2545,0.4766,0.3777,0.3488,0.4045,0.3217,0.2807,0.4114,0.428,0.3721,0.2928,0.3377,0.4232,0.3998,0.8476,0.7635,0.4063,0.4659,0.4945,0.4199,0.5137,0.4389,0.3868,0.3149,0.3188,0.3839,0.3171,0.3914,0.3816,0.3736,0.3806,0.3567,0.3157,0.3881,0.3717,0.4172,0.3227,0.5687,0.5499,0.4682,0.4573,0.469,0.4435,0.5236,0.5498,0.5293,0.5398,0.5634,0.4856,0.4803,0.4753,0.4597,0.3254,0.3784,0.3717,0.5563,0.582,0.4083,0.549,0.6096,0.5141,0.5176,0.4889,0.5344,0.5199,0.4882,0.489,0.4812,0.4663,0.566,0.3526,0.338,0.3741,0.3503,0.5106,0.4844,0.4629,0.3821,0.5029,0.5275,0.5539,0.1666,0.5397,0.1963,0.3943,0.581,0.5718,0.5457,0.5763,0.5487,0.4836,0.4791,0.2495,0.2269,0.2436,0.2343,0.3075,0.5254,0.4836,0.5127,0.3995,0.4023,0.6007,0.5197,0.497,0.4556,0.4645,0.532,0.4773,0.4826,0.4544,0.4343,0.4016,0.3526,0.3275,0.4954,0.4549,0.4509,0.4656,0.5206,0.4122,0.433,0.5693,0.7785,0.5896,0.4399,0.3585,0.4138,0.4954,0.3686,0.3398,0.3813,0.2154,0.3778,0.3756,0.3634,0.3726,0.431,0.4605,0.3864,0.2164,0.5024,0.5476,0.4463,0.5306,0.3494,0.3982,0.5005,0.5309,0.5173,0.5194,0.5397,0.5197,0.5946,0.4839,0.9356,0.3647,0.6367
Raw Daily Min RMSE (C),0.4912,0.4108,0.5203,0.4384,0.4076,0.4439,0.5332,0.2495,0.3619,0.3335,0.6307,0.5057,0.4747,0.5407,0.3796,0.3426,0.5014,0.5014,0.4524,0.3517,0.3976,0.5226,0.491,1.0433,0.9255,0.5792,0.5812,0.6152,0.5452,0.6513,0.5698,0.5096,0.3855,0.3951,0.4784,0.4079,0.4789,0.4591,0.489,0.5056,0.4656,0.426,0.5059,0.4994,0.4989,0.4414,0.7437,0.7082,0.6338,0.6131,0.6073,0.5929,0.6977,0.7243,0.7221,0.714,0.703,0.6402,0.6399,0.6211,0.6184,0.4524,0.5047,0.4791,0.6763,0.716,0.5317,0.6635,0.7281,0.6475,0.6598,0.6304,0.661,0.6577,0.6281,0.6401,0.652,0.6326,0.7111,0.4505,0.4794,0.4879,0.4875,0.6727,0.6371,0.6137,0.5056,0.6913,0.6701,0.7022,0.2414,0.6621,0.2963,0.5548,0.7206,0.7327,0.6851,0.7094,0.6704,0.6048,0.5955,0.3887,0.3172,0.354,0.3296,0.4318,0.6665,0.6048,0.6622,0.5224,0.5418,0.7853,0.6919,0.6557,0.5987,0.6237,0.6838,0.6364,0.6226,0.6603,0.5976,0.534,0.4671,0.426,0.6416,0.5698,0.5678,0.5868,0.6357,0.5192,0.5718,0.7307,0.9723,0.7567,0.5772,0.49,0.555,0.6297,0.5076,0.4591,0.5238,0.3187,0.5109,0.5197,0.4949,0.5058,0.5739,0.6136,0.5448,0.3282,0.6689,0.6956,0.5783,0.6957,0.467,0.4915,0.6747,0.6962,0.6742,0.6747,0.7164,0.6984,0.7542,0.6229,1.1297,0.4904,0.8654
Raw Max Hour MAE (h),1.024,1.132,1.06,1.407,1.005,1.053,1.038,0.449,0.526,0.705,0.939,0.91,0.905,0.887,0.764,0.788,0.792,0.765,0.732,1.315,1.313,0.802,1.252,0.898,1.092,1.377,1.68,1.731,1.497,1.805,1.323,1.412,1.616,1.415,2.099,1.367,2.433,1.94,1.467,1.075,1.045,0.754,0.741,0.78,0.723,0.696,1.386,1.345,1.109,1.136,1.183,1.111,1.145,1.207,1.097,1.025,0.826,0.991,0.876,1.162,1.133,0.872,1.239,1.538,2.005,1.902,1.43,1.87,1.772,1.655,1.431,1.407,1.801,1.537,1.315,1.072,1.145,1.125,1.235,1.643,1.076,1.196,1.028,1.033,0.963,1.098,0.763,0.811,1.05,1.008,0.424,1.134,0.477,0.723,1.639,1.566,1.68,1.647,1.96,1.589,1.588,0.587,0.401,0.635,0.56,0.687,1.742,1.589,1.647,1.134,1.301,1.031,1.11,1.513,1.154,1.152,1.31,1.165,1.362,0.89,0.897,0.665,0.97,0.801,1.302,1.48,1.515,1.49,1.76,1.134,1.692,1.144,1.234,1.047,1.061,1.002,1.135,1.172,1.017,0.815,0.856,0.426,1.233,0.845,0.856,0.99,1.057,1.129,0.825,0.398,1.561,1.592,1.304,1.924,0.959,0.955,1.109,1.283,1.203,1.285,1.408,1.283,1.494,1.243,1.32,1.167,0.929
Raw Min Hour MAE (h),1.727,1.641,1.936,2.329,1.606,1.647,2.719,0.747,1.627,1.408,2.225,1.854,1.703,1.888,1.971,2.404,2.702,2.398,2.192,2.688,3.146,2.563,3.067,2.866,2.995,3.127,2.634,2.51,2.547,3.128,2.359,2.871,2.678,2.399,3.269,2.966,3.71,3.266,2.51,2.004,1.775,1.494,1.703,1.672,1.645,1.393,3.176,2.911,2.19,2.196,2.167,2.034,2.257,2.381,2.202,2.12,2.024,2.078,1.97,2.191,2.073,1.776,2.411,2.925,3.134,3.028,2.378,2.956,2.872,3.172,2.916,2.752,3.252,3.044,2.569,2.314,2.104,2.118,2.925,2.52,1.797,1.792,1.775,2.023,2.038,2.168,1.674,2.061,2.091,2.16,0.858,3.295,1.176,2.057,2.848,2.745,2.63,2.725,2.934,2.623,2.596,1.114,0.977,1.203,0.935,1.589,2.798,2.623,2.608,1.998,1.803,2.3,2.171,3.03,2.168,2.067,2.54,2.191,2.619,1.894,1.732,1.943,2.096,2.064,2.294,2.427,2.445,2.556,2.689,2.052,2.497,2.303,2.793,2.182,2.059,1.978,2.122,2.082,1.878,2.174,1.827,0.818,2.624,1.908,2.105,2.119,2.107,2.587,1.973,1.2,2.448,2.676,2.307,3.334,2.341,1.73,2.062,2.458,2.275,2.487,2.611,2.538,3.317,2.558,3.183,2.148,2.413
Raw Acc<=1h (Max),0.769,0.736,0.755,0.651,0.772,0.757,0.719,0.904,0.882,0.792,0.777,0.78,0.79,0.783,0.795,0.763,0.78,0.763,0.787,0.679,0.696,0.818,0.668,0.782,0.729,0.676,0.611,0.608,0.647,0.599,0.683,0.677,0.6,0.679,0.496,0.659,0.479,0.536,0.658,0.736,0.755,0.818,0.852,0.809,0.856,0.827,0.679,0.693,0.733,0.743,0.732,0.744,0.734,0.71,0.744,0.755,0.811,0.758,0.801,0.737,0.731,0.796,0.702,0.639,0.556,0.583,0.648,0.574,0.58,0.639,0.687,0.675,0.594,0.665,0.693,0.756,0.726,0.73,0.715,0.582,0.755,0.722,0.769,0.755,0.767,0.742,0.8,0.807,0.749,0.75,0.919,0.741,0.889,0.847,0.62,0.633,0.614,0.629,0.557,0.606,0.614,0.873,0.923,0.857,0.876,0.835,0.598,0.606,0.608,0.714,0.661,0.759,0.736,0.661,0.738,0.735,0.686,0.733,0.705,0.803,0.787,0.849,0.801,0.826,0.698,0.638,0.633,0.645,0.6,0.71,0.614,0.726,0.732,0.757,0.754,0.758,0.725,0.727,0.771,0.803,0.798,0.903,0.69,0.796,0.8,0.803,0.774,0.745,0.808,0.917,0.629,0.623,0.693,0.579,0.82,0.774,0.736,0.679,0.712,0.693,0.655,0.698,0.661,0.721,0.71,0.727,0.796
Raw Acc<=1h (Min),0.703,0.702,0.649,0.557,0.691,0.686,0.491,0.905,0.706,0.726,0.591,0.688,0.684,0.682,0.625,0.468,0.436,0.491,0.52,0.417,0.401,0.502,0.439,0.432,0.423,0.416,0.503,0.531,0.498,0.471,0.519,0.458,0.448,0.498,0.403,0.427,0.368,0.37,0.562,0.639,0.682,0.749,0.711,0.709,0.709,0.772,0.426,0.466,0.608,0.611,0.619,0.625,0.609,0.585,0.614,0.622,0.624,0.632,0.66,0.596,0.623,0.655,0.509,0.482,0.504,0.507,0.523,0.468,0.495,0.451,0.47,0.508,0.477,0.449,0.537,0.589,0.641,0.641,0.524,0.548,0.642,0.651,0.665,0.637,0.63,0.602,0.711,0.624,0.625,0.616,0.888,0.423,0.82,0.613,0.495,0.511,0.526,0.517,0.484,0.477,0.47,0.817,0.853,0.779,0.869,0.7,0.486,0.477,0.525,0.63,0.634,0.593,0.619,0.481,0.605,0.628,0.55,0.617,0.534,0.673,0.69,0.634,0.601,0.62,0.557,0.503,0.512,0.477,0.514,0.626,0.554,0.593,0.498,0.619,0.626,0.639,0.585,0.631,0.639,0.542,0.651,0.888,0.46,0.637,0.551,0.634,0.636,0.522,0.639,0.798,0.537,0.53,0.529,0.452,0.561,0.693,0.62,0.524,0.579,0.531,0.506,0.534,0.445,0.523,0.398,0.59,0.54
Raw MinMax Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw MinMax Scaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw MinMax Template Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw MinMax Skipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enforced Log Present,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Enforced Merged Hours,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0,394488.0
Enforced Train Hours,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0,315576.0
Enforced Test Hours (2016-2024),78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0,78912.0
Enforced Train Time (s),310.09,325.53,321.67,315.67,346.48,302.98,298.93,335.95,330.6,316.9,294.26,324.15,298.76,311.13,284.89,304.0,301.07,284.71,279.67,415.1,278.82,304.18,278.15,274.42,256.95,269.88,280.72,278.36,299.45,292.37,280.54,304.49,319.68,323.64,321.35,302.54,300.04,294.7,268.4,336.53,312.91,318.21,333.0,300.96,317.6,313.17,262.07,285.76,319.81,296.31,296.72,297.6,317.9,278.29,288.44,316.67,333.83,308.75,304.76,326.42,315.75,305.06,335.63,297.2,287.14,308.38,324.55,292.71,273.28,268.49,268.22,273.94,295.64,291.24,285.48,300.11,283.86,327.45,271.24,347.24,310.75,331.66,316.62,310.62,293.52,281.66,297.39,310.95,330.9,346.82,309.42,324.4,323.07,307.56,296.94,279.04,282.35,286.28,283.18,284.89,304.92,308.52,350.04,383.06,411.96,309.92,274.98,300.79,274.1,312.53,287.22,314.19,305.31,265.57,292.29,296.01,280.03,295.5,282.22,317.46,316.63,292.07,274.46,288.24,290.8,294.64,308.87,273.13,284.54,321.05,265.83,296.48,301.2,306.37,304.45,337.83,316.21,326.87,319.46,335.12,342.38,333.58,301.5,346.48,311.31,291.37,275.24,293.27,279.01,349.5,271.86,283.42,269.59,249.66,278.0,315.71,294.7,290.67,272.73,302.3,287.74,308.74,294.7,271.16,263.78,269.17,285.66
Enforced Hourly MAE (C),0.8402,0.801,0.865,0.6992,0.7857,0.8188,0.5889,0.6282,0.6014,0.6552,0.913,0.851,0.8579,0.9184,0.6619,0.5659,0.6111,0.5919,0.6008,0.4669,0.5611,0.6353,0.607,1.3592,1.1391,0.542,0.8115,0.8786,0.8129,0.8664,0.8584,0.7422,0.6138,0.5883,0.5186,0.6503,0.5482,0.6114,0.7325,0.8415,0.8455,0.7124,0.7935,0.737,0.8072,0.7214,0.976,0.9565,0.9793,0.8929,0.9098,0.9386,0.9719,0.9843,0.9704,0.9834,1.1025,0.9386,0.9668,0.9204,0.913,0.8034,0.759,0.646,0.8988,0.9452,0.8244,0.8866,0.968,0.874,0.8757,0.8604,0.878,0.8742,0.8683,0.8762,0.9223,0.9148,0.9355,0.6776,0.8137,0.8776,0.8537,0.9725,0.9398,0.9761,0.7913,1.0125,1.0103,1.0352,0.5796,0.7246,0.6421,0.7479,0.9675,0.9524,0.9415,0.9579,0.9097,0.8351,0.8398,0.77,0.7678,0.7011,0.7768,0.8447,0.8926,0.8351,0.9,0.8677,0.8354,1.0904,0.9731,0.8908,0.8765,0.9167,0.952,0.8816,0.8987,0.9397,0.9,0.7922,0.7091,0.6629,0.9266,0.8751,0.8803,0.8477,0.8792,0.8604,0.7548,1.0348,1.2877,1.0684,0.8984,0.8472,0.8433,0.9626,0.8373,0.8082,0.8827,0.7789,0.7655,0.8804,0.8255,0.764,0.783,0.7333,0.7835,0.6556,0.9253,0.9242,0.8743,0.8469,0.645,0.7183,0.9654,0.9431,0.9563,0.9377,0.9266,0.9311,0.9459,0.8731,1.382,0.578,1.1566
Enforced Hourly RMSE (C),1.268,1.201,1.3232,1.0635,1.1971,1.2388,0.8952,0.9582,0.9381,1.0094,1.4541,1.323,1.3331,1.4051,0.9456,0.8152,0.8873,0.8494,0.8684,0.7052,0.8188,0.9141,0.8684,2.0756,1.7012,0.9826,1.2257,1.3289,1.2571,1.3311,1.3212,1.1214,0.9042,0.8535,0.7716,0.9826,0.7948,0.8956,1.1064,1.2759,1.2705,1.0863,1.201,1.0999,1.1827,1.0868,1.5191,1.4826,1.5229,1.4005,1.4112,1.4537,1.5049,1.5297,1.5234,1.5502,1.7331,1.4915,1.5311,1.4128,1.3994,1.2462,1.1729,0.9806,1.3557,1.4197,1.2703,1.3411,1.4516,1.3514,1.3504,1.3151,1.319,1.3433,1.3437,1.3455,1.4232,1.4106,1.4581,1.0291,1.266,1.3238,1.3002,1.5288,1.4943,1.5257,1.1917,1.5879,1.5816,1.6205,0.9023,1.0519,1.006,1.098,1.4652,1.4579,1.4223,1.4437,1.3707,1.2669,1.2853,1.1911,1.1916,1.0759,1.1623,1.2979,1.374,1.2669,1.3983,1.2847,1.2956,1.6921,1.4957,1.4222,1.3803,1.4294,1.4837,1.3742,1.4238,1.5066,1.4395,1.1801,1.0489,0.9831,1.4063,1.333,1.3417,1.2973,1.3409,1.2719,1.1692,1.5978,1.9665,1.6499,1.3744,1.2681,1.2612,1.4333,1.2995,1.2667,1.3686,1.222,1.1654,1.3977,1.307,1.1877,1.2354,1.1326,1.2289,1.0451,1.4061,1.4145,1.3479,1.3612,0.9462,1.056,1.4763,1.4233,1.4532,1.4234,1.4161,1.4467,1.4857,1.3426,2.1221,0.9227,1.8724
Enforced Hourly R2,0.977,0.9767,0.9777,0.9769,0.9772,0.9776,0.9842,0.9881,0.99,0.9871,0.9781,0.9791,0.9794,0.9785,0.9708,0.9766,0.9702,0.986,0.984,0.9561,0.9235,0.9707,0.9728,0.9633,0.9674,0.9729,0.984,0.982,0.9826,0.9778,0.9804,0.9649,0.9671,0.9599,0.9475,0.9602,0.9462,0.9655,0.973,0.9753,0.9774,0.9896,0.9888,0.9888,0.9893,0.9899,0.9815,0.9834,0.9799,0.9831,0.9822,0.9801,0.9853,0.9854,0.9844,0.9841,0.9766,0.982,0.9805,0.9796,0.9809,0.9781,0.9732,0.9775,0.9812,0.9815,0.9823,0.9805,0.9799,0.984,0.985,0.9854,0.9848,0.9851,0.9843,0.9895,0.9878,0.9879,0.9864,0.9772,0.9761,0.9733,0.9783,0.9825,0.9822,0.9803,0.9872,0.9821,0.9831,0.982,0.9916,0.9852,0.9895,0.987,0.9817,0.9825,0.9819,0.9819,0.9809,0.9828,0.9826,0.9822,0.9816,0.985,0.9879,0.9794,0.9824,0.9828,0.983,0.9767,0.9769,0.9838,0.9882,0.9811,0.9827,0.9807,0.9814,0.9834,0.9816,0.9786,0.9804,0.9831,0.978,0.9804,0.9805,0.9819,0.9813,0.9818,0.9812,0.9761,0.9737,0.9844,0.9735,0.9831,0.9785,0.9786,0.9795,0.9789,0.9801,0.9724,0.9773,0.9809,0.973,0.9768,0.9736,0.989,0.9878,0.9856,0.9882,0.9897,0.984,0.9828,0.9798,0.9722,0.9779,0.9894,0.9776,0.9783,0.9773,0.979,0.9769,0.9851,0.9823,0.9877,0.9614,0.9874,0.976
